Id,joy,positive,sadness,negative,anger,anticipation,fear,trust,disgust,surprise,cluster_label
lZiaYpD9ZrI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3tDPeqLBbbc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1_lap6dzSUc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
H1hvxov6cTk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
oDiIoSl526k,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Q2O0BePaLSw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4j7Fa2PCMow,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
zsYYJ5iU4pk,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1
3AfOimz2Ebg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
mhsckf9XFqc,0.25,0.25,1.0,0.75,0.25,0.0,0.0,0.0,0.25,0.0,1
ca8RoyQ1tNo,0.2894736842105263,0.368421052631579,1.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,1
BIcNiswoh98,0.25,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
qUqwbRfSUgM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
PrqwxkBB0DA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3M_5oYU-IsU,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
5lSGFVLfC78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
o0QB6cXs1_k,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
WNeLUngb-Xg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3PkgcCIg-yc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
pj6k-EFxqAI,0.19999999999999996,0.19999999999999996,0.0,0.0,0.0,1.0,0.0,0.19999999999999996,0.0,0.0,1
QfKBrsRBncI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bm5iA4Zupek,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
YM_l3wlDbTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
PT5oqO-hiEQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
r0Eq1Cw-TMs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
vxj-PhixV74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
y64m5o1rMG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-WZ_VA2amyk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
X80g2uwz_CI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
yhrkyR3mLMk,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
XJwtrA9C264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7iSJbEUuRnE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
lVW9o6iIGPk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Uifu_h5j_90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2YX6O03d85s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
oXm2AuqwPlc,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1
46jdAF0X8CU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
e_12Apy8LR8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9aEczzCM514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
UCOxqgCwgOqC2lMqC5PYz_Dg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-a8KsDyRxuo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
UzhvQZ2sDfo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BS3HgiHPYcs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
dBRv7OxXuzA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2GOcreQmOZ4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4O8nsxQJN8s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
fQ0xN6eWX_o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
GHUVZnd8JqU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
_PxjfQkrBNo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Z1tdtOVUu0w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8RSsxw2BBTc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
kUUq9Xh8wqA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
UCS4iXNXsvlOHm7TuXLltreg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
nH7bjV0Q_44,0.0,0.0,0.8571428571428572,1.0,0.14285714285714285,0.42857142857142855,0.28571428571428575,0.28571428571428575,0.42857142857142855,0.0,1
a-Lp2uC_1lg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
I0rGN9etgHk,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
UC-9-kyTW8ZkZNDHQJ6FgpwQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
F-IPRfEDTCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
XiBv-B2yZoY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Df_wETCQ27o,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
_l0GxVsHCQo,0.039999999999999994,0.23999999999999994,0.8399999999999999,0.9999999999999998,0.15999999999999998,0.11999999999999998,0.2,0.0,0.2,0.039999999999999994,1
OUPOxUMZAbQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
jl8gQ7zAq8g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
UCuHgenThTJSwe6GViFDhDMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rmGz1weDPVA,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
4xtctQcble8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
kI4fh2UeNCM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
l7YFkpLBTvM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
rUaKheq8ACM,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
bl4ECUVs2EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
JLGqL_JR_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
I0dICJHzYJY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1y-nzZkuRxY,0.0,0.36111111111111105,0.1111111111111111,0.9999999999999998,0.08333333333333331,0.0,0.24999999999999992,0.0,0.08333333333333331,0.16666666666666663,1
x7YlZ93cJVo,0.0,0.36111111111111105,0.11111111111111113,1.0,0.08333333333333334,0.0,0.25,0.0,0.08333333333333334,0.16666666666666666,1
l-dXv_u2sDo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
N-qZA0Gddno,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
A7uvpYzz-ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
W5xjNOAmrZs,0.012422360248447206,0.055900621118012424,0.024844720496894408,0.9999999999999999,0.0,0.0,0.031055900621118016,0.0,0.006211180124223602,0.006211180124223602,1
sMI9Yzc2XLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
u8UAOlYEAs0,0.0,0.0,0.0,0.25,0.0,1.0,0.25,0.0,0.25,0.0,1
gcn1FshFao8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
WoJp3mDvq7k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
gsw-VVj_ing,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
_45HwP8Hit0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
NUUmOJydHyg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
fw4rUN4Fykg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
IIMN8RqBWlQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A-6TwB7nlu4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
D0QCtgSxVfA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Y5J02UAlOFU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
eA7y-lBLJv0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6W5yqhdSG00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
dhgKOYbxM5k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
mz6tqru-Bzc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1qbLCWOUbpY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
w6-3fY1R_6I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
iARyjd65w2o,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
JxcP9oizcQI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
lg647NcK8dI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
m3ikB63AQ9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4vQ4iosHrQY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
q4D0urSKR6o,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
I2kM7npB7lQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
MLnu9E6RjCM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
zytkO0Hz7Ks,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1
Q-w81EA2uZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
igN_QZYlV3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Wsv2kNSO0AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Y05XZ_z95Lc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
AfXPrZ4mygY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6wrFjtKLakw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9T2lV6L93hI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
48ppN6RCWUk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
P407XYl9NkU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
icfbE7nWnoY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Pk5AyGPr2Gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
