Id,title,date,description,title&description,emoji,processed,emotions
6dNh0Vp6JH8,IF YOU KNOW THESE SONGS YOU’RE HEARTBROKEN😭 #shorts,2022-03-28 20:54:11,,if you know these songs youre heartbroken shorts,['😭'],know song heartbroken short,{}
8n9T31oNV6s,THE BEST SONG EVER 2023!,2023-01-06 01:00:02,,the best song ever 2023,[],best song,{}
Sv5yCzPCkv8,SZA - Snooze (Audio),2022-12-09 05:00:20,"SZA’s New Album “SOS” // Available Everywhere Now!
Listen Here // https://sza.lnk.to/SOS  

Follow SZA: 
https://szasos.com 
http://instagram.com/sza 
http://twitter.com/sza 
http://facebook.com/sza 

#SZA #Snooze #SOS #RnB

http://vevo.ly/LlqA8c",sza snooze audio szas new album sos // available everywhere now listen here // follow sza sza snooze sos rnb,[],sza snooze audio sza new album available listen follow sza sza snooze sos rnb,{}
LrvfQWvN85Y,သင်္ကြန်သီချင်းကောင်းများစုစည်းမှု Myanmar Thingyan Songs Collection #thingyan #သင်္ကြန်,2023-03-16 22:30:03,"သင်္ကြန်သီချင်းကောင်းများစုစည်းထားသော ဗွီဒီယိုလေးပါခင်ဗျာ။
အားလုံးပဲ နှစ်သစ်မှာ အကြီးမားဆုံး လိုအင်ဆန္ဒတွေ ပြည့်ဝနိုင်ကြပါစေချင်ဗျာ။

#thingyan 
#သင်္ကြန် 
#မြန်မာသီချင်း 
#song
#myanmarwaterfestival",myanmar thingyan songs collection thingyan thingyan song myanmarwaterfestival,[],myanmarwaterfestival,{}
UDVUV39YAcE,Disturbed - The Sound Of Silence (Lyrics),2024-03-10 14:30:17,"Disturbed - The Sound Of Silence (Lyrics)

Disturbed - The Sound Of Silence (Lyrics)

Disturbed - The Sound Of Silence (Lyrics)

Disturbed - The Sound Of Silence (Lyrics)",disturbed the sound of silence lyrics disturbed the sound of silence lyrics disturbed the sound of silence lyrics disturbed the sound of silence lyrics disturbed the sound of silence lyrics,[],disturb sound silence lyric disturb sound silence lyric disturb sound silence lyric disturb sound silence lyric disturb sound silence lyric,{}
ZmL_hsgD5Sw,Pyramid Song by Radiohead (Slowed Reasonably With Reverb),2024-03-08 00:00:13,"Does what is says on the tin really



































































Why you even looking here


































#videos #radiohead #slowedandreverb #slowed #reverb #slowedreverb #slowedsongs #video",pyramid song by radiohead slowed reasonably with reverb does what is says on the tin really why you even looking here videos radiohead slowedandreverb slowed reverb slowedreverb slowedsongs video,[],pyramid song radiohead slow reasonably reverb say tin look video radiohead slowedandreverb slow reverb slowedreverb slowedsong video,{}
8mmZxRFr3Dk,Lush Life - Zara Larsson (sped up),2024-03-15 16:58:28,#zaralarsson #spedup #spedupaudios #spedupmusic #spedupsongs #lushlife,lush life zara larsson sped up zaralarsson spedup spedupaudios spedupmusic spedupsongs lushlife,[],life speed zaralarsson spedup spedupaudio spedupmusic spedupsong lushlife,{}
U1jDXkwVtBk,Jennifer Lopez - Ain&#39;t Your Mama (B95),2024-03-16 05:05:48,,jennifer lopez ain 39 t your mama b95,[],ain t mama b95,{}
uMAOULv4C6s,The Winnie the Pooh horror movie is a mess 😂,2023-03-24 23:37:15,,the winnie the pooh horror movie is a mess,['😂'],,{}
TBnJLjxb4lU,TOP 10 BEST MOVIES OF 2022,2022-12-31 20:00:11,"2022 had some incredible movies and these are my top ten best movies of 2022 and all the best movies for this year! 

#movies #shorts #youtubeshorts #movieshorts #bestmovies #northman",top 10 best movies of 2022 2022 had some incredible movies and these are my top ten best movies of 2022 and all the best movies for this year movies shorts youtubeshorts movieshorts bestmovies northman,[],best movie incredible movie best movie best movie movie short youtubeshort movieshort bestmovie northman,{}
